step, en to de, de to en
256, 24.79, 28.54
512, 25.09, 27.92
768, 25.62, 28.87
1024, 25.8, 29.52
1280, 25.99, 29.25
1536, 26.64, 29.91
1792, 26.38, 29.98
2048, 26.72, 30.14
2304, 27.02, 30.14
2560, 27.29, 30.41
2816, 27.9, 30.93
3072, 27.79, 30.93
3328, 27.92, 30.84
3584, 28.64, 31.22
3840, 28.9, 31.44
4096, 28.68, 31.7
4352, 29.13, 31.75
4608, 29.26, 31.99
4864, 29.63, 31.88
5120, 29.08, 32.04
5376, 30.05, 32.37
5632, 30.06, 31.97
5888, 29.85, 32.31
6144, 29.63, 32.07
