mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.3707,12.74,33.7326
train,0,10,2.276,15.0,37.3188
train,0,20,2.2733,14.375,45.1187
train,0,30,2.2605,11.875,51.0625
train,0,40,2.2089,11.875,52.9125
train,0,50,2.1308,11.5625,53.0938
train,0,60,2.1373,13.75,52.5375
train,0,70,2.1048,14.0625,51.3156
train,0,80,2.0799,15.0,51.825
train,0,90,2.1307,9.375,53.6594
train,0,100,2.0939,13.4375,51.1562
train,0,110,2.0866,13.75,49.5938
train,0,120,2.1214,11.875,51.1219
train,0,130,2.0846,12.8125,50.0344
train,0,140,2.0644,12.5,52.0844
train,0,150,2.0824,11.875,51.9531
train,0,160,2.0612,15.625,53.3125
train,0,170,2.0775,11.875,50.2531
train,0,180,2.0464,13.4375,52.8438
train,0,190,2.068,13.4375,53.0031
train,0,200,2.0697,12.8125,54.0063
train,0,210,2.0571,17.1875,53.4188
train,0,220,2.0639,14.375,56.0187
train,0,230,2.08,12.1875,56.7938
train,0,240,2.0674,10.625,57.2188
train,0,250,2.0626,11.5625,55.3344
train,0,260,2.0717,11.25,57.4438
train,0,270,2.0479,12.1875,55.4937
train,0,280,2.0759,9.0625,57.3125
train,0,290,2.04,13.75,56.2188
train,0,300,2.0795,9.6875,58.8563
train,0,310,2.0505,13.125,56.7281
train,0,320,1.9992,19.0625,53.6219
train,0,330,2.0225,14.6875,54.1625
train,0,340,2.0277,15.0,54.5688
train,0,350,2.0267,14.375,54.6063
train,0,360,2.0388,14.6875,55.4156
train,0,370,2.0182,15.3125,54.1781
train,0,380,2.0184,12.8125,54.8937
train,0,390,1.9976,15.625,51.9469
train,0,400,2.059,11.25,55.725
train,0,410,2.0185,16.5625,55.2687
train,0,420,2.0237,14.375,56.9219
train,0,430,2.008,14.0625,54.4406
train,0,440,2.0302,15.625,55.0187
train,0,450,2.0097,15.3125,56.0938
train,0,460,2.023,16.5625,57.4969
train,0,470,2.0153,13.75,51.3031
train,0,480,2.0284,15.9375,44.9594
train,0,490,1.9981,16.25,45.7781
train,0,500,1.9747,20.3125,46.1
train,0,510,1.9961,15.3125,46.4656
validation,0,512,1.9934,16.34,42.2162
train,0,520,2.0067,14.375,48.3813
train,0,530,2.0299,12.1875,50.075
train,0,540,1.9843,14.0625,51.025
train,0,550,1.9889,17.5,49.9969
train,0,560,1.9923,18.75,51.6938
train,0,570,2.0007,14.6875,52.5375
train,0,580,1.983,16.5625,51.3969
train,0,590,1.9564,17.1875,49.1781
train,0,600,1.9496,19.6875,50.9594
train,0,610,1.9797,17.8125,52.2781
