step, en to de, de to en
256, 22.13, 25.33
512, 24.09, 27.7
768, 24.6, 27.86
1024, 25.28, 28.99
1280, 25.24, 29.22
1536, 26.08, 29.61
1792, 25.72, 29.52
2048, 26.4, 29.71
2304, 26.24, 29.8
2560, 27.18, 29.99
2816, 27.59, 30.68
3072, 27.47, 30.52
3328, 27.57, 30.54
3584, 28.31, 30.81
3840, 28.71, 31.32
4096, 28.69, 31.45
4352, 29.13, 31.29
4608, 29.09, 31.53
4864, 29.53, 31.6
5120, 29.14, 31.85
5376, 29.74, 32.16
5632, 29.9, 31.76
5888, 29.96, 32.21
6144, 29.54, 32.08
