mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.3707,12.74,33.7326
train,0,10,2.2033,15.3125,26.9469
train,0,20,2.2052,16.5625,19.4406
train,0,30,2.1668,13.75,17.9812
train,0,40,2.1635,11.25,18.5406
train,0,50,2.1019,16.25,22.4469
train,0,60,2.091,12.8125,27.5813
train,0,70,2.0798,14.0625,27.5781
train,0,80,2.0773,15.0,32.1625
train,0,90,2.0943,11.25,35.5594
train,0,100,2.0687,13.125,38.7
train,0,110,2.0557,13.75,40.8937
train,0,120,2.0888,11.25,42.7969
train,0,130,2.0614,13.4375,42.5969
train,0,140,2.0702,13.125,41.5844
train,0,150,2.0686,14.0625,46.1531
train,0,160,2.0683,15.3125,47.9844
train,0,170,2.0486,14.375,46.9719
train,0,180,2.0468,14.0625,49.9438
train,0,190,2.0578,10.625,48.2219
train,0,200,2.0479,15.9375,43.6469
train,0,210,2.0289,13.4375,45.1281
train,0,220,2.0475,14.6875,48.7344
train,0,230,2.0602,11.5625,51.6531
train,0,240,2.0264,12.5,50.1313
train,0,250,2.02,14.6875,48.2406
train,0,260,2.042,13.75,51.3031
train,0,270,2.0283,15.3125,57.8062
train,0,280,2.0439,13.125,59.0812
train,0,290,2.0133,13.75,57.2812
train,0,300,2.025,11.875,58.3094
train,0,310,2.032,11.25,54.7906
train,0,320,1.9981,17.8125,57.6812
train,0,330,2.0368,14.0625,61.6063
train,0,340,2.0384,14.375,61.6281
train,0,350,2.071,12.1875,62.5906
train,0,360,2.014,12.5,60.625
train,0,370,2.1808,13.4375,51.8875
train,0,380,2.0449,14.6875,51.7469
train,0,390,2.0394,12.8125,50.0812
train,0,400,2.0631,10.9375,40.1594
train,0,410,1.9797,15.3125,26.6781
train,0,420,2.0493,13.4375,25.4312
train,0,430,2.028,16.25,26.5406
train,0,440,1.9799,15.3125,23.3781
train,0,450,1.9949,11.5625,22.3062
train,0,460,1.9978,12.8125,27.7437
train,0,470,1.9848,15.9375,34.0844
train,0,480,1.9915,14.6875,36.575
train,0,490,1.9408,18.75,32.9281
train,0,500,1.9265,17.8125,35.2313
train,0,510,1.9698,14.375,33.8594
validation,0,512,1.9275,16.62,31.824
train,0,520,1.9843,11.5625,29.7531
train,0,530,1.983,13.75,26.9187
train,0,540,1.9492,15.0,28.8313
train,0,550,1.9425,14.0625,27.8125
train,0,560,1.934,17.1875,31.4438
train,0,570,1.9496,18.75,38.6531
train,0,580,1.9839,15.3125,44.2938
train,0,590,1.954,19.375,43.5531
train,0,600,1.8922,20.3125,38.8281
train,0,610,1.959,19.6875,34.0812
train,0,620,1.9527,14.375,18.1719
train,0,630,1.896,18.75,13.9125
train,0,640,1.9639,17.5,12.075
train,0,650,1.9549,17.8125,15.2844
train,0,660,1.9356,19.375,19.4906
train,0,670,1.8857,22.8125,20.2906
train,0,680,1.8928,22.5,21.7469
train,0,690,1.9982,14.0625,22.3281
train,0,700,1.9056,20.9375,26.2406
train,0,710,1.9068,21.5625,29.0156
train,0,720,1.9052,22.1875,23.7156
train,0,730,1.8649,22.5,18.8531
train,0,740,1.8992,18.125,15.8406
train,0,750,1.8511,23.4375,20.7812
train,0,760,1.8567,23.4375,23.9156
train,0,770,1.8699,25.3125,18.8594
train,0,780,1.9345,21.5625,18.1187
train,0,790,1.9057,21.5625,21.1187
train,0,800,1.8604,23.75,30.6531
train,0,810,1.8561,27.8125,32.2594
train,0,820,1.8122,28.75,29.1562
train,0,830,1.7799,30.0,29.0125
train,0,840,1.7973,31.5625,25.2563
train,0,850,1.7592,29.0625,22.7125
train,0,860,1.8058,30.0,25.8781
train,0,870,1.7601,29.0625,26.2594
train,0,880,1.7467,32.1875,25.8
train,0,890,1.7628,31.875,26.8594
train,0,900,1.6453,35.0,25.6656
train,0,910,1.717,33.4375,22.7312
train,0,920,1.7906,30.0,27.5063
train,0,930,1.726,33.4375,28.6406
train,0,940,1.7079,34.6875,28.8375
train,0,950,1.7473,33.125,30.4219
train,0,960,1.7244,29.375,25.2531
train,0,970,1.7585,30.3125,27.8531
train,0,980,1.6394,41.875,25.7906
train,0,990,1.5922,40.9375,25.6812
train,0,1000,1.6063,38.4375,27.2312
train,0,1010,1.6553,35.625,25.3219
