epoch,global step,mode,loss,accuracy,mean_length
0,0,train,3.0648,12.5,59.375
0,0,train,3.0648,12.5,59.375
0,0,validation,3.3077,12.92,63.99
0,0,validation,3.3077,12.92,63.99
0,10,train,2.6062,9.8684,63.4671
0,10,train,2.0389,25.0,64
0,10,train,2.6062,9.8684,63.4671
0,10,train,2.0389,25.0,64
0,20,train,2.2953,9.8684,64
0,20,train,2.1729,0.0,64
0,20,train,2.2953,9.8684,64
0,20,train,2.1729,0.0,64
0,30,train,2.4362,6.5789,64
0,30,train,2.4328,12.5,64
0,30,train,2.4362,6.5789,64
0,30,train,2.4328,12.5,64
0,40,train,2.3985,11.1842,64
0,40,train,2.5379,12.5,64
0,40,train,2.3985,11.1842,64
0,40,train,2.5379,12.5,64
0,50,train,2.4185,13.8158,63.7105
0,50,train,2.6668,12.5,64
0,50,train,2.4185,13.8158,63.7105
0,50,train,2.6668,12.5,64
0,60,train,2.4854,11.8421,64
0,60,train,2.2962,0.0,64
0,60,train,2.4854,11.8421,64
0,60,train,2.2962,0.0,64
0,70,train,2.3517,10.5263,64
0,70,train,2.2178,0.0,64
0,70,train,2.3517,10.5263,64
0,70,train,2.2178,0.0,64
0,80,train,2.3272,9.2105,64
0,80,train,2.597,0.0,64
0,80,train,2.3272,9.2105,64
0,80,train,2.597,0.0,64
0,90,train,2.3081,13.1579,64
0,90,train,2.322,12.5,64
0,90,train,2.3081,13.1579,64
0,90,train,2.322,12.5,64
0,100,train,2.2699,13.1579,64
0,100,train,1.8767,12.5,64
0,100,train,2.2699,13.1579,64
0,100,train,1.8767,12.5,64
0,110,train,2.1962,9.2105,64
0,110,train,2.0997,12.5,64
0,110,train,2.1962,9.2105,64
0,110,train,2.0997,12.5,64
0,120,train,2.186,10.5263,64
0,120,train,2.2122,25.0,64
0,120,train,2.186,10.5263,64
0,120,train,2.2122,25.0,64
0,130,train,2.1455,15.7895,64
0,130,train,2.2067,12.5,64
0,130,train,2.1455,15.7895,64
0,140,train,2.2273,7.8947,64
0,130,train,2.2067,12.5,64
0,140,train,2.0058,25.0,64
0,150,train,2.3019,11.1842,64
0,140,train,2.2273,7.8947,64
0,150,train,2.4116,12.5,64
0,140,train,2.0058,25.0,64
0,160,train,2.2732,15.1316,64
0,160,train,1.9938,50.0,64
0,150,train,2.3019,11.1842,64
0,150,train,2.4116,12.5,64
0,170,train,2.1796,17.7632,64
0,170,train,2.2075,25.0,64
0,160,train,2.2732,15.1316,64
0,160,train,1.9938,50.0,64
0,180,train,2.2814,12.5,64
0,180,train,1.9631,37.5,64
0,170,train,2.1796,17.7632,64
0,170,train,2.2075,25.0,64
0,190,train,2.2704,11.1842,64
0,190,train,2.2553,0.0,64
0,180,train,2.2814,12.5,64
0,180,train,1.9631,37.5,64
0,200,train,2.1787,12.5,64
0,200,train,2.3305,0.0,64
0,190,train,2.2704,11.1842,64
0,190,train,2.2553,0.0,64
0,210,train,2.1852,12.5,64
0,210,train,2.1801,12.5,64
0,200,train,2.1787,12.5,64
0,200,train,2.3305,0.0,64
0,220,train,2.2677,12.5,64
0,220,train,2.1147,12.5,64
0,210,train,2.1852,12.5,64
0,210,train,2.1801,12.5,64
0,230,train,2.1868,13.1579,64
0,230,train,2.1237,12.5,64
0,220,train,2.2677,12.5,64
0,220,train,2.1147,12.5,64
0,240,train,2.1829,11.8421,64
0,240,train,2.3641,0.0,64
0,230,train,2.1868,13.1579,64
0,230,train,2.1237,12.5,64
0,250,train,2.2491,7.2368,64
0,250,train,2.2635,12.5,64
0,240,train,2.1829,11.8421,64
0,240,train,2.3641,0.0,64
0,260,train,2.1232,18.4211,64
0,260,train,2.0831,25.0,64
0,250,train,2.2491,7.2368,64
0,250,train,2.2635,12.5,64
0,270,train,2.1702,10.5263,64
0,270,train,2.3253,12.5,64
0,260,train,2.1232,18.4211,64
0,260,train,2.0831,25.0,64
0,280,train,2.1957,7.2368,64
0,280,train,2.2023,0.0,64
0,270,train,2.1702,10.5263,64
0,270,train,2.3253,12.5,64
0,290,train,2.0979,11.8421,64
0,290,train,2.014,25.0,64
0,280,train,2.1957,7.2368,64
0,280,train,2.2023,0.0,64
0,300,train,2.1074,9.8684,64
0,300,train,2.12,12.5,64
0,290,train,2.0979,11.8421,64
0,290,train,2.014,25.0,64
0,310,train,2.0739,15.7895,64
0,310,train,1.9766,25.0,64
0,300,train,2.1074,9.8684,64
0,300,train,2.12,12.5,64
0,320,train,2.0772,17.1053,64
0,320,train,2.1555,12.5,64
0,310,train,2.0739,15.7895,64
0,310,train,1.9766,25.0,64
0,330,train,2.0968,12.5,64
0,330,train,1.9998,37.5,64
0,320,train,2.0772,17.1053,64
0,320,train,2.1555,12.5,64
0,340,train,2.0951,10.5263,64
0,340,train,2.1524,0.0,64
0,330,train,2.0968,12.5,64
0,330,train,1.9998,37.5,64
0,350,train,2.0906,15.1316,64
0,350,train,2.0743,25.0,64
0,340,train,2.0951,10.5263,64
0,340,train,2.1524,0.0,64
0,360,train,2.0847,15.7895,64
0,360,train,2.0787,25.0,64
0,350,train,2.0906,15.1316,64
0,350,train,2.0743,25.0,64
