step, en to ne, ne to en
256, 0.05, 0.04
512, 0.09, 0.09
768, 0.07, 0.11
1024, 0.09, 0.11
1280, 0.08, 0.1
1536, 0.09, 0.03
1792, 0.07, 0.15
2048, 0.12, 0.11
2304, 0.06, 0.04
2560, 0.07, 0.11
2816, 0.03, 0.12
3072, 0.05, 0.09
3328, 0.07, 0.04
3584, 0.1, 0.1
3840, 0.07, 0.19
4096, 0.09, 0.08
4352, 0.12, 0.11
4608, 0.07, 0.07
4864, 0.07, 0.16
5120, 0.08, 0.05
5376, 0.1, 0.12
5632, 0.1, 0.15
5888, 0.03, 0.07
6144, 0.14, 0.06
