epoch,global step,mode,loss,accuracy,mean_length
0,0,validation,3.1148,12.42,63.6134
0,10,train,2.2983,18.4375,59.8937
0,20,train,2.1754,13.75,60.4188
0,30,train,2.126,14.375,49.7062
0,40,train,2.1478,12.1875,49.5906
0,50,train,2.1161,14.0625,45.0312
0,60,train,2.085,15.0,58.0031
0,70,train,2.0867,10.625,63.8031
0,80,train,2.0773,14.375,64
0,90,train,2.1107,8.4375,64
0,100,train,2.0889,10.3125,64
0,110,train,2.0822,10.625,64
0,120,train,2.0925,11.25,64
0,130,train,2.0883,10.625,64
0,140,train,2.0833,10.625,64
0,150,train,2.0867,13.4375,64
0,160,train,2.0817,12.5,64
0,170,train,2.0812,11.5625,64
0,180,train,2.0758,14.0625,64
0,190,train,2.0881,10.3125,64
0,200,train,2.0815,13.125,64
0,210,train,2.0655,15.625,64
0,220,train,2.0676,12.1875,64
0,230,train,2.0711,12.8125,64
0,240,train,2.0605,15.9375,64
0,250,train,2.0019,12.8125,64
0,260,train,1.9944,15.0,64
0,270,train,2.0649,14.375,63.8094
0,280,train,2.0671,12.5,63.8094
0,290,train,2.0596,15.625,64
0,300,train,2.0653,12.5,64
0,310,train,1.998,15.9375,63.8125
0,320,train,1.9478,17.8125,63.8094
0,330,train,2.0157,16.5625,63.675
0,340,train,1.9709,17.8125,63.8094
0,350,train,2.0471,15.9375,64
0,360,train,2.0252,13.75,64
0,370,train,2.0252,16.875,64
0,380,train,2.0523,14.375,64
0,390,train,2.004,22.8125,63.9937
0,400,train,2.0569,18.125,64
0,410,train,2.0277,15.0,63.6187
0,420,train,2.0101,16.5625,63.8406
0,430,train,1.9973,18.75,63.8125
0,440,train,1.9691,18.75,63.6219
0,450,train,1.9687,18.75,63.8531
0,460,train,2.1933,16.5625,62.0656
0,470,train,2.1051,20.3125,62.075
0,480,train,1.9774,21.5625,61.7219
0,490,train,1.9056,16.875,62.3219
0,500,train,1.9163,22.1875,60.8937
0,510,train,2.0051,18.125,57.0781
0,512,validation,2.0897,12.48,64
0,520,train,2.0125,19.0625,61.8406
0,530,train,2.0424,13.4375,63.2781
0,540,train,2.046,15.3125,62.6344
0,550,train,1.9995,19.6875,59.1281
0,560,train,2.047,16.875,62.2281
0,570,train,2.009,18.75,63.2156
0,580,train,1.9904,18.125,63.3375
0,590,train,1.9304,18.4375,63.7375
0,600,train,1.9597,18.125,64
0,610,train,1.9195,21.5625,64
0,620,train,1.8507,25.9375,64
0,630,train,1.9197,20.625,63.9875
0,640,train,1.9059,19.0625,63.8625
0,650,train,1.9068,20.0,63.1156
0,660,train,1.8952,20.625,63.1187
0,670,train,1.8693,26.25,63.9125
0,680,train,1.8156,24.0625,64
0,690,train,1.8255,24.6875,64
0,700,train,1.7941,26.875,63.875
0,710,train,1.7885,23.125,63.5875
0,720,train,1.782,28.125,58.8531
0,730,train,1.8086,29.6875,56.6219
0,740,train,1.9383,26.5625,45.1094
0,750,train,2.0353,24.0625,37.1156
0,760,train,2.269,23.4375,37.1781
0,770,train,1.9374,23.4375,33.25
0,780,train,1.7655,28.125,32.1406
0,790,train,1.8613,22.1875,43.0156
0,800,train,2.1099,14.6875,62.2906
0,810,train,2.2899,10.9375,64
0,820,train,2.2903,12.5,64
0,830,train,2.0848,13.75,64
0,840,train,2.0846,12.5,64
0,850,train,2.0674,15.3125,64
0,860,train,2.0888,11.875,63.8125
0,870,train,2.0797,13.4375,64
0,880,train,2.0827,12.5,64
0,890,train,2.0759,12.1875,64
0,900,train,2.0699,11.875,64
0,910,train,2.0801,14.0625,64
0,920,train,2.0731,12.8125,64
0,930,train,2.0737,14.0625,64
0,940,train,2.0731,15.0,64
0,950,train,2.0795,13.4375,64
0,960,train,2.079,15.0,63.8813
0,970,train,2.0839,10.625,64
0,980,train,2.0849,13.4375,64
0,990,train,2.0838,13.125,64
0,1000,train,2.0824,14.6875,64
0,1010,train,2.0852,12.1875,64
0,1020,train,2.0814,16.875,64
0,1024,validation,2.0812,12.48,64
0,1030,train,2.0843,11.25,64
0,1040,train,2.0767,13.75,64
0,1050,train,2.0769,15.3125,64
0,1060,train,2.0846,11.5625,64
0,1070,train,2.0782,11.25,64
0,1080,train,2.0815,11.875,64
0,1090,train,2.0836,10.3125,64
0,1100,train,2.0803,9.375,64
0,1110,train,2.0784,14.375,64
0,1120,train,2.0828,12.5,64
0,1130,train,2.0798,12.8125,64
0,1140,train,2.0817,12.5,64
0,1150,train,2.0777,14.6875,64
0,1160,train,2.0798,12.5,64
0,1170,train,2.0795,12.5,64
0,1180,train,2.0859,9.375,64
0,1190,train,2.0811,15.0,64
0,1200,train,2.0797,11.25,64
0,1210,train,2.0775,14.0625,63.95
0,1220,train,2.0839,11.5625,63.9
0,1230,train,2.0804,12.5,64
0,1240,train,2.0745,11.25,63.9562
0,1250,train,2.0813,14.375,64
0,1260,train,2.0748,17.5,63.9188
0,1270,train,2.0756,13.4375,63.9469
0,1280,train,2.0464,15.3125,63.825
0,1290,train,2.0168,16.875,42.3875
0,1300,train,1.893,22.5,54.4781
0,1310,train,1.9607,19.0625,62.8656
0,1320,train,1.985,16.5625,63.0625
0,1330,train,2.0058,12.1875,64
0,1340,train,2.0394,14.0625,63.6219
0,1350,train,1.9724,15.9375,63.8125
0,1360,train,1.935,24.375,63.6313
0,1370,train,1.8772,26.875,62.8813
0,1380,train,1.8711,22.8125,61.9813
0,1390,train,1.8749,22.5,60.1375
0,1400,train,1.8456,25.3125,60.1781
0,1410,train,1.7446,30.3125,59.5281
0,1420,train,1.7392,25.9375,58.75
0,1430,train,1.7764,23.125,58.5844
0,1440,train,1.8307,22.1875,58.2125
0,1450,train,1.869,21.5625,60.6656
0,1460,train,1.8529,27.1875,60.7969
0,1470,train,1.7928,25.625,55.8
0,1480,train,1.8616,26.25,54.0875
0,1490,train,1.8265,26.5625,54.7469
0,1500,train,1.7376,28.4375,53.8
0,1510,train,1.7193,35.3125,46.2594
0,1520,train,1.8823,25.9375,47.3438
0,1530,train,1.6846,30.625,56.4781
0,1536,validation,1.631,31.4,61.0008
0,1540,train,1.7315,30.3125,61.7812
0,1550,train,1.6346,30.9375,58.5875
0,1560,train,1.6732,26.875,57.4688
0,1570,train,1.6572,28.4375,55.4062
0,1580,train,1.6411,32.8125,50.0344
0,1590,train,1.6525,30.9375,47.8438
0,1600,train,1.6725,27.1875,50.9438
0,1610,train,1.6103,30.9375,51.575
0,1620,train,1.6021,33.125,44.1375
0,1630,train,1.6994,27.5,42.4719
0,1640,train,1.5439,33.4375,45.0
0,1650,train,1.5835,34.6875,45.2094
0,1660,train,1.5852,31.25,47.6812
0,1670,train,1.6128,31.5625,49.2875
0,1680,train,1.6727,31.5625,51.3094
0,1690,train,1.6787,28.4375,48.3062
0,1700,train,1.7289,26.875,48.2344
0,1710,train,1.7516,27.8125,53.4969
0,1720,train,1.7936,30.3125,56.7531
0,1730,train,1.8581,20.0,59.5125
0,1740,train,1.6611,30.0,53.1969
0,1750,train,1.6143,34.375,51.8
0,1760,train,1.6159,33.4375,53.55
0,1770,train,1.6096,28.4375,48.6156
0,1780,train,1.6532,30.625,49.875
0,1790,train,1.598,30.3125,45.2375
0,1800,train,1.5654,34.0625,48.1812
