mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.3707,12.74,33.7326
train,0,10,2.2669,15.625,34.5688
train,0,20,2.2332,13.75,40.1812
train,0,30,2.1894,15.625,39.0594
train,0,40,2.2068,11.5625,41.9781
train,0,50,2.13,14.0625,43.4688
train,0,60,2.1269,13.75,44.9688
train,0,70,2.1208,15.3125,44.8625
train,0,80,2.0905,13.75,44.9125
train,0,90,2.1403,9.375,45.3156
train,0,100,2.1063,11.875,46.1969
train,0,110,2.0693,15.0,47.5438
train,0,120,2.1303,12.5,49.4719
train,0,130,2.0975,14.0625,47.7313
train,0,140,2.082,10.9375,50.8813
train,0,150,2.1083,11.25,53.175
train,0,160,2.0812,13.4375,53.5438
train,0,170,2.092,13.4375,54.2437
train,0,180,2.076,14.375,55.075
train,0,190,2.0925,12.8125,55.8062
train,0,200,2.0949,15.3125,56.2219
train,0,210,2.0758,10.0,55.1625
train,0,220,2.0809,13.75,58.2156
train,0,230,2.0939,13.75,58.2906
train,0,240,2.085,11.875,57.7219
train,0,250,2.0689,11.5625,55.4094
train,0,260,2.0789,10.9375,56.4531
train,0,270,2.0638,14.375,54.6969
train,0,280,2.0653,13.4375,55.4688
train,0,290,2.0503,12.5,54.4406
train,0,300,2.0818,9.0625,58.7188
train,0,310,2.0629,10.625,55.6219
train,0,320,2.0295,18.125,56.5906
train,0,330,2.0463,14.6875,58.2781
train,0,340,2.0071,15.0,55.7156
train,0,350,2.0563,12.5,58.2781
train,0,360,2.037,13.4375,57.1063
train,0,370,2.0385,11.25,57.7656
train,0,380,2.0245,16.875,56.3125
train,0,390,2.0178,17.1875,52.9312
train,0,400,2.0463,13.4375,55.7594
train,0,410,2.0195,15.9375,52.0156
train,0,420,2.0304,15.0,50.1063
train,0,430,2.0297,15.9375,48.7062
train,0,440,1.9966,16.5625,52.7875
train,0,450,2.0187,15.0,56.3281
train,0,460,2.0248,14.0625,58.0625
train,0,470,2.0279,14.0625,56.8594
train,0,480,2.015,11.25,56.0656
train,0,490,2.0155,15.3125,57.3375
train,0,500,2.0161,17.1875,59.3
train,0,510,2.0129,15.625,58.6875
validation,0,512,1.98,14.96,54.106
train,0,520,2.0041,11.875,56.2844
train,0,530,2.012,13.125,56.1531
train,0,540,2.0121,12.1875,55.2281
train,0,550,1.9507,17.8125,52.15
train,0,560,1.9676,16.5625,53.3813
train,0,570,1.9909,14.6875,49.8969
train,0,580,1.968,15.625,49.2687
train,0,590,1.9547,17.5,46.2687
train,0,600,1.9048,19.375,46.3
train,0,610,1.9857,13.125,45.4156
train,0,620,1.9714,15.625,42.0719
train,0,630,1.9528,17.1875,44.6125
train,0,640,1.9861,13.75,50.1187
train,0,650,1.9754,16.5625,50.6031
train,0,660,1.9559,17.5,52.4531
train,0,670,1.9155,21.25,51.0344
train,0,680,1.9371,15.3125,55.0688
train,0,690,1.9485,16.875,57.9375
train,0,700,1.9623,15.0,57.9937
train,0,710,1.96,15.9375,57.7344
train,0,720,1.9095,20.625,56.7687
train,0,730,1.9108,18.75,55.7313
train,0,740,1.9188,18.125,56.1656
train,0,750,1.9513,16.875,57.8125
train,0,760,1.9414,17.5,57.8469
train,0,770,1.9247,17.8125,57.4656
train,0,780,1.951,16.25,59.8781
train,0,790,1.9413,16.5625,59.3
train,0,800,1.9276,18.75,59.15
train,0,810,1.9197,18.4375,59.4781
train,0,820,1.9232,17.1875,58.8469
train,0,830,1.8717,20.625,57.7188
train,0,840,1.9067,20.9375,55.6031
train,0,850,1.8504,22.5,54.8156
train,0,860,1.9204,20.0,54.3344
train,0,870,1.9193,19.375,53.0969
train,0,880,1.8934,18.4375,54.0594
train,0,890,1.9008,17.5,55.475
train,0,900,1.8393,22.8125,53.4094
train,0,910,1.8742,23.125,56.8062
train,0,920,1.9025,19.0625,58.2313
train,0,930,1.8426,22.5,46.975
train,0,940,1.9185,20.625,43.1469
train,0,950,1.8615,21.875,46.6812
train,0,960,1.9069,21.25,50.3719
train,0,970,1.9016,19.6875,54.45
train,0,980,1.8839,23.4375,53.9156
train,0,990,1.8874,20.0,54.3875
train,0,1000,1.86,23.125,55.7844
train,0,1010,1.8173,22.5,54.3594
train,0,1020,1.8286,23.125,53.3563
validation,0,1024,1.7957,26.58,51.459
train,0,1030,1.8446,22.8125,50.8062
train,0,1040,1.8416,24.6875,52.7719
train,0,1050,1.8551,24.375,49.6375
train,0,1060,1.8775,23.75,49.4625
train,0,1070,1.8063,31.875,52.075
train,0,1080,1.9109,22.1875,57.7969
train,0,1090,1.8637,23.4375,55.975
train,0,1100,1.8374,24.0625,55.3656
train,0,1110,1.8606,25.3125,56.2281
train,0,1120,1.8543,20.9375,55.1156
train,0,1130,1.787,26.5625,54.7719
