mode,epoch,global step,loss,accuracy,mean_length
train,0,4960,0.3,87.1094,64
train,0,4992,0.3082,90.625,64
train,0,5024,0.3052,89.4531,64
train,0,5056,0.3035,89.4531,64
train,0,5088,0.3061,89.8438,63.9453
train,0,5120,0.3096,89.4531,64
validation,0,5120,0.2222,93.14,63.9338
train,0,5152,0.2635,90.625,64
train,0,5184,0.2699,90.2344,64
train,0,5216,0.3078,89.4531,64
train,0,5248,0.2516,91.7969,63.8984
train,0,5280,0.2176,94.5312,64
train,0,5312,0.2341,92.5781,64
train,0,5344,0.2479,90.2344,64
train,0,5376,0.2774,90.625,63.9023
train,0,5408,0.2385,92.5781,64
train,0,5440,0.2594,90.625,64
train,0,5472,0.2732,92.1875,64
train,0,5504,0.1918,93.3594,64
train,0,5536,0.2861,89.4531,64
train,0,5568,0.2954,89.0625,64
train,0,5600,0.1862,97.2656,64
train,0,5632,0.2154,92.9688,64
validation,0,5632,0.2068,92.98,63.9798
train,0,5664,0.2145,92.1875,64
train,0,5696,0.26,91.4062,64
train,0,5728,0.2827,89.4531,64
train,0,5760,0.2871,92.1875,64
train,0,5792,0.2214,93.75,63.8164
train,0,5824,0.2391,90.2344,64
train,0,5856,0.254,91.7969,64
train,0,5888,0.2712,90.625,64
train,0,5920,0.2629,90.2344,64
train,0,5952,0.2242,92.1875,64
train,0,5984,0.2491,91.4062,64
train,0,6016,0.199,93.3594,64
train,0,6048,0.2123,93.75,63.918
train,0,6080,0.2269,90.2344,64
train,0,6112,0.2495,92.1875,63.9023
train,0,6144,0.2419,91.4062,64
validation,0,6144,0.1975,94.04,64
train,0,6176,0.1813,93.3594,64
train,0,6208,0.2121,92.1875,63.8516
train,0,6240,0.2193,91.7969,64
train,0,6272,0.2316,93.3594,64
train,0,6304,0.19,93.75,64
train,0,6336,0.1928,94.9219,64
train,0,6368,0.279,91.4062,64
train,0,6400,0.1989,94.5312,64
train,0,6432,0.2189,91.0156,64
train,0,6464,0.1797,94.1406,64
train,0,6496,0.1856,95.3125,64
train,0,6528,0.1604,94.9219,64
train,0,6560,0.2424,91.4062,64
train,0,6592,0.211,91.7969,64
train,0,6624,0.1839,93.75,64
train,0,6656,0.155,94.9219,64
validation,0,6656,0.1771,94.32,63.9932
train,0,6688,0.3016,90.2344,63.8945
train,0,6720,0.2732,91.7969,64
train,0,6752,0.2024,93.3594,64
train,0,6784,0.1812,94.5312,64
train,0,6816,0.1687,94.5312,64
train,0,6848,0.1591,95.7031,64
train,0,6880,0.2105,90.625,64
train,0,6912,0.1647,94.5312,64
train,0,6944,0.1899,93.3594,64
train,0,6976,0.1603,94.9219,64
train,0,7008,0.1623,94.5312,64
train,0,7040,0.1799,92.9688,64
train,0,7072,0.1729,92.9688,64
train,0,7104,0.1677,92.9688,64
train,0,7136,0.147,95.7031,64
train,0,7168,0.1554,96.0938,64
validation,0,7168,0.1517,94.86,63.971
train,0,7200,0.1892,93.3594,64
train,0,7232,0.237,91.4062,64
train,0,7264,0.2311,93.75,64
train,0,7296,0.1943,91.7969,64
train,0,7328,0.2396,91.7969,64
train,0,7360,0.1824,94.1406,64
train,0,7392,0.1986,92.5781,63.9414
train,0,7424,0.1663,94.9219,63.8555
train,0,7456,0.1766,93.3594,63.8125
train,0,7488,0.1559,96.4844,63.8555
train,0,7520,0.1791,94.1406,63.8359
train,0,7552,0.1975,91.4062,63.8203
train,0,7584,0.1294,96.4844,63.7227
train,0,7616,0.1756,94.5312,63.3789
train,0,7648,0.193,94.1406,63.8594
train,0,7680,0.2199,92.5781,63.7969
validation,0,7680,0.1437,95.78,63.9666
train,0,7712,0.1506,95.3125,63.7617
train,0,7744,0.1698,94.9219,63.8359
train,0,7776,0.1634,94.5312,63.7773
train,0,7808,0.2067,93.3594,63.9023
train,0,7840,0.1925,92.5781,63.7578
train,0,7872,0.1384,96.0938,63.3984
