step, en to de, de to en
256, 23.5, 27.64
512, 24.48, 28.09
768, 25.13, 28.53
1024, 25.49, 29.23
1280, 25.72, 28.86
1536, 26.33, 29.77
1792, 26.26, 29.77
2048, 26.74, 29.89
2304, 25.88, 30.3
2560, 26.84, 30.04
2816, 26.96, 30.75
3072, 26.83, 30.25
3328, 27.21, 31.21
3584, 27.96, 31.12
3840, 27.34, 31.2
4096, 27.58, 31.41
4352, 28.5, 31.44
4608, 29.28, 31.93
4864, 28.9, 31.48
5120, 28.99, 32.03
5376, 29.63, 32.08
5632, 29.62, 32.04
5888, 29.62, 32.0
6144, 29.52, 32.09
