epoch,global step,mode,loss,accuracy,mean_length
0,0,validation,3.1148,12.42,63.6134
0,10,train,2.3432,17.1875,52.2437
0,20,train,2.2967,13.125,36.7844
0,30,train,2.2391,14.0625,20.1281
0,40,train,2.2068,12.5,16.8188
0,50,train,2.1197,12.1875,22.7281
0,60,train,2.1093,13.125,30.4969
0,70,train,2.0967,15.0,40.3281
0,80,train,2.0889,13.4375,43.8969
0,90,train,2.1296,9.0625,44.5344
0,100,train,2.0906,13.75,40.2719
0,110,train,2.0836,13.4375,37.6688
0,120,train,2.1074,11.875,32.9469
0,130,train,2.0957,12.1875,35.4094
0,140,train,2.0843,12.5,31.1187
0,150,train,2.0911,12.5,29.9406
0,160,train,2.0908,13.75,29.2125
0,170,train,2.0888,13.75,35.6719
0,180,train,2.071,15.3125,49.0875
0,190,train,2.0887,10.0,58.9469
0,200,train,2.0922,14.0625,59.4312
0,210,train,2.0684,15.3125,60.2188
0,220,train,2.0875,11.25,61.7406
0,230,train,2.0988,11.875,62.8813
0,240,train,2.1006,9.6875,63.4281
0,250,train,2.0929,10.3125,63.4281
0,260,train,2.0964,12.1875,63.4031
0,270,train,2.0932,10.625,63.4281
0,280,train,2.0878,11.25,63.8094
0,290,train,2.0849,10.9375,63.8094
0,300,train,2.109,9.375,64
0,310,train,2.0877,9.375,63.6187
0,320,train,2.0781,15.3125,63.8094
0,330,train,2.0939,13.125,63.8094
0,340,train,2.0823,14.0625,63.6187
0,350,train,2.0864,14.0625,63.8094
0,360,train,2.0843,12.5,63.8094
0,370,train,2.0852,10.9375,63.6187
0,380,train,2.0818,12.8125,63.4656
0,390,train,2.0816,15.625,62.6844
0,400,train,2.0903,12.1875,63.8094
0,410,train,2.0752,12.1875,63.4312
0,420,train,2.0829,16.875,62.5
0,430,train,2.0747,14.375,63.125
0,440,train,2.0843,15.3125,63.075
0,450,train,2.0861,12.8125,62.3875
0,460,train,2.0767,13.4375,62.8625
0,470,train,2.0802,11.5625,61.7
0,480,train,2.0786,15.0,62.825
0,490,train,2.0616,14.0625,62.4844
0,500,train,2.0568,16.5625,61.5875
0,510,train,2.0606,13.125,61.4813
0,512,validation,2.041,14.4,63.1896
0,520,train,2.0486,12.8125,62.3469
0,530,train,2.0452,11.25,62.7469
0,540,train,2.0011,16.5625,62.5719
0,550,train,1.9908,15.0,63.05
0,560,train,1.9748,21.875,62.0719
0,570,train,1.9718,17.5,62.1
0,580,train,2.0098,17.5,62.0156
0,590,train,2.033,17.1875,60.7375
0,600,train,2.0811,13.4375,59.1313
0,610,train,2.0813,15.3125,60.5312
0,620,train,2.0761,14.6875,59.6187
0,630,train,2.076,13.75,60.2406
0,640,train,2.0819,9.6875,60.3031
0,650,train,2.0761,12.5,59.2906
0,660,train,2.0832,11.5625,59.5562
0,670,train,2.071,15.3125,58.6437
0,680,train,2.0631,15.625,59.5063
0,690,train,2.0748,14.6875,59.6531
0,700,train,2.0688,16.25,59.6844
0,710,train,2.0796,11.875,60.5375
0,720,train,2.0814,15.3125,64
0,730,train,2.0916,11.875,64
0,740,train,2.0795,15.9375,64
0,750,train,2.0811,11.25,64
0,760,train,2.0776,14.375,64
0,770,train,2.0773,11.875,64
0,780,train,2.0656,16.25,64
0,790,train,2.0562,14.375,64
0,800,train,2.0244,16.875,64
0,810,train,1.9696,20.3125,64
0,820,train,1.9679,21.5625,64
0,830,train,1.893,27.1875,64
0,840,train,1.8071,26.875,64
0,850,train,1.7355,26.875,64
0,860,train,1.8455,22.8125,64
0,870,train,1.8236,28.125,64
0,880,train,1.9088,22.1875,64
0,890,train,1.7958,27.5,64
0,900,train,1.7457,32.1875,64
0,910,train,1.7126,26.875,64
0,920,train,1.7086,28.125,64
0,930,train,1.6512,32.5,64
0,940,train,1.6677,29.375,64
0,950,train,1.6782,32.1875,64
0,960,train,1.6218,34.375,64
0,970,train,1.6074,38.125,64
0,980,train,1.5337,42.1875,64
0,990,train,2.0656,26.25,64
0,1000,train,1.7835,33.125,64
0,1010,train,1.7745,30.625,64
0,1020,train,1.6882,28.75,64
0,1024,validation,1.6479,33.84,64
0,1030,train,1.6309,33.75,64
0,1040,train,1.5871,35.9375,64
0,1050,train,1.5839,41.875,64
0,1060,train,1.5083,40.9375,64
0,1070,train,1.475,40.9375,64
0,1080,train,1.523,40.3125,64
0,1090,train,1.4291,46.5625,64
0,1100,train,1.3915,47.1875,64
0,1110,train,1.335,50.0,64
0,1120,train,1.3698,45.3125,64
0,1130,train,1.2601,52.8125,64
0,1140,train,1.3515,49.6875,64
0,1150,train,1.3417,48.75,64
0,1160,train,1.3396,48.75,64
0,1170,train,1.281,50.625,64
0,1180,train,1.327,48.125,64
0,1190,train,1.3739,47.1875,64
0,1200,train,1.299,48.4375,64
0,1210,train,1.2839,50.3125,64
0,1220,train,1.2487,48.75,64
0,1230,train,1.2742,53.125,64
0,1240,train,1.1916,54.6875,64
0,1250,train,1.1986,51.25,64
0,1260,train,1.1603,56.875,64
0,1270,train,1.141,55.625,64
0,1280,train,1.0723,56.875,64
0,1290,train,1.146,58.125,64
0,1300,train,1.0847,56.5625,64
0,1310,train,1.1058,55.3125,64
0,1320,train,1.048,62.1875,64
0,1330,train,1.1313,58.4375,64
0,1340,train,1.0961,58.125,64
0,1350,train,1.1409,55.9375,64
0,1360,train,1.1356,54.0625,64
0,1370,train,1.0385,60.9375,64
0,1380,train,1.1697,55.9375,64
0,1390,train,1.1414,58.75,64
0,1400,train,1.0917,58.75,64
0,1410,train,1.0448,60.625,64
0,1420,train,1.0579,59.6875,64
