step, en to ne, ne to en
256, 0.07, 0.01
512, 0.04, 0.22
768, 0.08, 0.14
1024, 0.06, 0.13
1280, 0.0, 0.16
1536, 0.0, 0.0
1792, 0.0, 0.06
2048, 0.0, 0.0
2304, 0.1, 0.14
2560, 0.0, 0.19
2816, 0.01, 0.16
3072, 0.01, 0.1
3328, 0.14, 0.06
3584, 0.14, 0.11
3840, 0.0, 0.11
4096, 0.01, 0.06
4352, 0.07, 0.09
4608, 0.09, 0.14
4864, 0.09, 0.11
5120, 0.12, 0.19
5376, 0.09, 0.11
5632, 0.11, 0.12
5888, 0.11, 0.12
6144, 0.12, 0.12
6400, 0.11, 0.12
6656, 0.09, 0.14
6912, 0.09, 0.11
