step, en to de, de to en
256, 23.72, 27.5
512, 24.41, 28.07
768, 24.78, 28.29
1024, 25.47, 29.13
1280, 25.82, 29.3
1536, 26.16, 29.52
1792, 26.45, 29.78
2048, 26.75, 29.86
2304, 26.87, 30.4
2560, 27.16, 30.34
2816, 27.82, 30.87
3072, 27.6, 30.44
3328, 28.27, 30.99
3584, 28.82, 31.18
3840, 28.92, 31.42
4096, 28.78, 31.82
4352, 29.12, 31.58
4608, 29.45, 31.71
4864, 29.47, 31.86
5120, 29.41, 31.99
5376, 29.57, 32.2
5632, 29.54, 31.87
5888, 29.9, 32.17
6144, 29.66, 32.31
