mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.428,12.52,61.3902
train,0,32,2.3409,13.2812,60.7285
train,0,64,2.202,13.0859,63.3047
train,0,96,2.1446,13.6719,63.6719
train,0,128,2.135,12.8906,63.9209
train,0,160,2.1351,13.0859,63.9648
train,0,192,2.1134,13.4766,63.8506
train,0,224,2.1214,12.6953,64
train,0,256,2.0957,13.0859,63.9629
train,0,288,2.103,14.3555,63.9932
train,0,320,2.1032,11.4258,63.9463
train,0,352,2.0783,14.8438,63.9521
train,0,384,2.1021,12.5977,64
train,0,416,2.1019,12.3047,64
train,0,448,2.0961,12.5977,63.9521
train,0,480,2.0939,12.1094,63.9502
train,0,512,2.0971,13.2812,64
validation,0,512,2.0867,12.76,64
train,0,544,2.0842,13.1836,64
train,0,576,2.0859,12.8906,64
train,0,608,2.0996,12.207,63.9648
train,0,640,2.0708,15.918,64
train,0,672,2.0757,12.6953,63.9062
train,0,704,2.0719,12.5,63.6123
train,0,736,2.0647,13.0859,62.2461
train,0,768,2.0452,12.5977,63.8184
train,0,800,2.0316,12.5977,63.6436
train,0,832,2.006,12.8906,63.7061
train,0,864,2.0023,14.1602,63.6348
train,0,896,2.0078,11.9141,63.6152
train,0,928,1.9813,13.3789,63.9336
train,0,960,1.9657,13.1836,63.5791
train,0,992,1.9836,13.4766,63.624
train,0,1024,1.9658,14.0625,59.2012
validation,0,1024,2.0241,12.4,56.3634
train,0,1056,1.9709,13.5742,60.2119
train,0,1088,1.9806,13.5742,61.3076
train,0,1120,1.9868,13.4766,62.292
train,0,1152,1.956,15.4297,62.3428
train,0,1184,1.9727,13.1836,62.9346
train,0,1216,1.9143,14.0625,63.0
train,0,1248,1.9563,12.8906,63.3574
train,0,1280,1.9618,12.793,63.6133
train,0,1312,1.9669,13.6719,63.8184
train,0,1344,1.9513,13.3789,63.4199
train,0,1376,1.9672,12.6953,63.3066
train,0,1408,1.9534,14.1602,63.625
train,0,1440,1.9379,15.332,62.8184
train,0,1472,1.9487,13.4766,62.4189
train,0,1504,1.9781,12.8906,62.918
train,0,1536,1.9349,13.9648,62.2949
validation,0,1536,1.9581,13.28,61.9018
train,0,1568,1.9179,13.6719,62.0479
train,0,1600,1.9258,14.8438,61.6025
train,0,1632,1.9557,14.5508,61.3574
train,0,1664,1.9267,15.5273,61.5977
train,0,1696,1.9448,13.4766,61.8096
train,0,1728,1.9359,14.0625,61.6885
train,0,1760,1.9465,13.1836,61.0488
train,0,1792,1.9213,13.4766,61.248
train,0,1824,1.9467,14.2578,61.1738
train,0,1856,1.945,15.0391,60.9189
train,0,1888,1.9222,15.625,59.3643
train,0,1920,1.9508,14.6484,60.9863
train,0,1952,1.9667,12.5,57.7773
train,0,1984,1.9465,12.6953,59.5146
train,0,2016,1.9282,15.4297,57.9004
train,0,2048,1.9417,13.8672,58.25
validation,0,2048,1.9459,13.0,55.3728
train,0,2080,1.9213,14.5508,57.2793
train,0,2112,1.9194,14.8438,56.5654
train,0,2144,1.9259,14.2578,59.2803
train,0,2176,1.9191,14.8438,59.1221
train,0,2208,1.893,15.7227,58.9658
train,0,2240,1.9674,13.3789,59.3965
train,0,2272,1.9058,16.3086,59.4541
train,0,2304,1.9183,16.4062,63.1191
train,0,2336,1.9185,15.1367,62.6543
train,0,2368,1.9727,13.3789,63.6807
train,0,2400,1.9083,15.625,63.54
train,0,2432,1.9147,16.0156,63.4355
train,0,2464,1.8977,17.8711,63.5967
train,0,2496,1.899,17.4805,63.3125
train,0,2528,1.9135,17.9688,63.5576
train,0,2560,1.8633,19.9219,63.4092
validation,0,2560,1.8914,17.68,63.5814
train,0,2592,1.8865,18.0664,63.3398
train,0,2624,1.8984,16.7969,63.1836
train,0,2656,1.908,16.3086,63.335
train,0,2688,1.884,18.8477,63.3467
train,0,2720,1.8805,20.6055,63.3633
train,0,2752,1.8479,21.875,62.5986
train,0,2784,1.8969,21.1914,63.5391
train,0,2816,1.8596,21.2891,63.916
train,0,2848,1.8699,19.6289,63.748
train,0,2880,1.8487,21.9727,63.5908
train,0,2912,1.8677,20.8984,63.2764
train,0,2944,1.852,22.0703,63.5449
train,0,2976,1.856,23.0469,63.4512
train,0,3008,1.857,23.1445,63.3799
train,0,3040,1.833,21.0938,63.2959
train,0,3072,1.8273,24.4141,62.8984
validation,0,3072,1.8331,24.5,63.324
train,0,3104,1.8342,23.3398,63.3682
train,0,3136,1.8017,27.4414,63.3984
train,0,3168,1.7915,28.6133,63.2803
train,0,3200,1.8194,25.0,63.3662
train,1,3232,1.8022,26.0742,63.376
train,1,3264,1.7805,27.2461,63.5479
train,1,3296,1.7693,28.9062,63.4727
train,1,3328,1.7578,30.7617,63.627
