step, en to zh, zh to en
256, 12.95, 6.4
512, 13.36, 6.7
768, 13.92, 7.25
1024, 13.8, 7.45
1280, 13.28, 7.19
1536, 14.27, 7.51
1792, 14.01, 7.65
2048, 14.94, 7.88
2304, 13.81, 8.22
2560, 14.53, 8.11
2816, 14.4, 8.07
3072, 14.88, 8.36
3328, 15.03, 8.16
3584, 14.83, 8.14
3840, 14.75, 8.19
4096, 15.26, 8.26
4352, 14.63, 8.08
4608, 15.2, 8.82
4864, 15.1, 8.17
5120, 14.77, 8.55
5376, 15.24, 8.59
5632, 15.29, 8.47
5888, 15.81, 8.39
6144, 15.25, 8.5
