step, en to de, de to en
256, 0.4, 0.57
512, 24.52, 28.49
768, 25.9, 29.05
1024, 25.86, 30.03
1280, 26.17, 29.89
1536, 26.77, 30.29
1792, 26.83, 30.65
2048, 26.82, 30.99
2304, 27.05, 31.02
2560, 27.08, 30.94
2816, 27.59, 31.31
3072, 27.71, 30.95
3328, 27.94, 31.45
3584, 28.46, 31.69
3840, 28.14, 31.66
4096, 27.93, 31.93
4352, 29.05, 31.68
4608, 29.18, 32.0
4864, 29.29, 32.04
5120, 29.21, 32.16
5376, 29.73, 32.34
5632, 29.54, 32.23
5888, 29.62, 32.14
6144, 29.46, 32.07
