mode,epoch,global step,loss,accuracy,mean_length
train,1,4576,0.163,94.6289,63.998
train,1,4608,0.1585,94.6289,63.9375
validation,1,4608,0.0976,96.72,63.9934
train,1,4640,0.1453,95.3125,63.9209
train,1,4672,0.1234,95.9961,63.9736
train,1,4704,0.1404,96.2891,63.9658
train,1,4736,0.1246,96.4844,63.9502
train,1,4768,0.1591,94.9219,63.9082
train,1,4800,0.1563,95.1172,63.834
train,1,4832,0.1373,95.0195,63.7959
train,1,4864,0.1391,95.5078,63.8662
train,1,4896,0.1366,95.7031,63.9219
train,1,4928,0.1125,96.875,63.8936
train,1,4960,0.0942,97.8516,63.7539
train,1,4992,0.1337,96.0938,63.3467
train,1,5024,0.1278,95.7031,63.292
train,1,5056,0.1114,96.2891,63.7227
train,1,5088,0.1446,95.7031,63.458
train,1,5120,0.1391,95.5078,63.6787
validation,1,5120,0.0907,96.98,63.7234
train,1,5152,0.0991,97.0703,63.4121
train,1,5184,0.1055,96.1914,63.3037
train,1,5216,0.1306,95.4102,63.0371
train,1,5248,0.1244,95.8984,63.5234
train,1,5280,0.1189,95.8008,63.2188
train,1,5312,0.1033,97.0703,63.4688
train,1,5344,0.1009,96.7773,63.5566
train,1,5376,0.0992,96.582,63.4824
train,1,5408,0.0897,97.6562,63.1152
train,1,5440,0.1184,96.0938,63.2148
train,1,5472,0.1453,95.5078,63.8203
train,1,5504,0.1183,95.7031,63.9053
train,1,5536,0.1252,96.3867,63.9756
train,1,5568,0.1269,96.2891,64
train,1,5600,0.1524,94.9219,63.9248
train,1,5632,0.125,96.6797,63.9043
validation,1,5632,0.0924,96.92,63.9864
train,1,5664,0.1622,94.3359,63.9238
train,1,5696,0.095,97.2656,63.9121
train,1,5728,0.1118,95.9961,63.9609
train,1,5760,0.1295,96.1914,63.9287
train,1,5792,0.1147,96.6797,63.9395
train,1,5824,0.102,96.7773,63.9521
train,1,5856,0.0907,97.3633,63.9346
train,1,5888,0.0821,97.7539,63.917
train,1,5920,0.1197,96.2891,63.8857
train,1,5952,0.0723,98.4375,63.8936
train,1,5984,0.1,96.9727,63.9248
train,1,6016,0.106,96.4844,63.9229
train,1,6048,0.1268,95.5078,63.8906
train,1,6080,0.1027,96.9727,63.9355
train,1,6112,0.1006,96.875,63.7051
train,1,6144,0.107,95.9961,63.6523
validation,1,6144,0.0809,97.02,63.946
train,1,6176,0.078,97.6562,63.707
train,1,6208,0.1267,96.0938,63.8125
train,1,6240,0.1256,95.8984,63.7871
train,1,6272,0.1198,95.8008,63.8145
train,1,6304,0.1307,95.5078,63.7041
train,1,6336,0.0786,98.1445,64
train,1,6368,0.1088,96.2891,63.9932
train,1,6400,0.0834,97.168,63.9883
train,1,6432,0.0936,96.875,63.998
train,2,6464,0.0937,96.4844,63.9824
train,2,6496,0.0912,96.4844,63.9756
train,2,6528,0.1167,96.1914,63.9971
train,2,6560,0.0975,97.2656,64
train,2,6592,0.0826,97.2656,64
train,2,6624,0.0939,96.7773,64
train,2,6656,0.0763,97.6562,64
validation,2,6656,0.0478,98.36,63.9992
train,2,6688,0.082,97.7539,63.9863
train,2,6720,0.0832,97.5586,63.9805
train,2,6752,0.0978,96.7773,63.9902
train,2,6784,0.0987,97.2656,63.9697
train,2,6816,0.0884,97.4609,63.9053
train,2,6848,0.0953,96.9727,63.8604
train,2,6880,0.1116,96.3867,63.748
train,2,6912,0.1113,96.582,63.7539
train,2,6944,0.1208,95.8984,63.6387
train,2,6976,0.0876,97.7539,63.7998
train,2,7008,0.0741,97.6562,63.3936
train,2,7040,0.0831,97.8516,63.0811
train,2,7072,0.101,96.875,63.415
train,2,7104,0.0845,97.6562,63.9004
train,2,7136,0.0782,97.5586,63.8291
train,2,7168,0.0712,97.6562,63.7852
validation,2,7168,0.0652,97.88,63.7838
train,2,7200,0.0935,97.2656,63.5156
train,2,7232,0.1568,95.2148,63.7305
train,2,7264,0.1576,94.8242,63.9766
train,2,7296,0.1545,94.4336,63.9922
train,2,7328,0.101,96.7773,64
train,2,7360,0.0994,96.6797,64
train,2,7392,0.1183,95.8008,64
train,2,7424,0.0987,96.1914,64
train,2,7456,0.0816,97.168,64
train,2,7488,0.066,98.0469,63.9961
train,2,7520,0.0723,97.4609,64
train,2,7552,0.0926,97.0703,64
train,2,7584,0.0782,97.168,64
train,2,7616,0.0747,97.4609,64
train,2,7648,0.0516,98.5352,64
train,2,7680,0.0698,97.9492,64
validation,2,7680,0.0672,97.76,64
train,2,7712,0.0681,97.9492,64
train,2,7744,0.1147,96.4844,64
train,2,7776,0.0636,98.1445,64
train,2,7808,0.0856,97.168,64
train,2,7840,0.0643,98.0469,64
train,2,7872,0.0619,98.0469,64
train,2,7904,0.0572,98.3398,64
train,2,7936,0.0663,97.7539,64
train,2,7968,0.0472,99.0234,64
train,2,8000,0.0538,98.2422,64
train,2,8032,0.0722,97.9492,64
train,2,8064,0.0486,98.4375,64
train,2,8096,0.0692,97.8516,64
train,2,8128,0.0848,97.7539,64
train,2,8160,0.0681,98.3398,64
train,2,8192,0.0715,97.7539,64
