step, en to si, si to en
256, 0.01, 0.09
512, 0.01, 0.15
768, 0.0, 0.12
1024, 0.0, 0.18
1280, 0.08, 0.06
1536, 0.0, 0.05
1792, 0.06, 0.06
2048, 0.06, 0.09
2304, 0.09, 0.04
2560, 0.07, 0.06
2816, 0.14, 0.15
3072, 0.01, 0.09
3328, 0.0, 0.1
3584, 0.0, 0.13
3840, 0.06, 0.1
4096, 0.08, 0.08
4352, 0.05, 0.06
4608, 0.01, 0.11
4864, 0.06, 0.08
5120, 0.08, 0.11
5376, 0.11, 0.11
5632, 0.1, 0.11
5888, 0.0, 0.12
6144, 0.1, 0.08
