epoch,global step,mode,loss,accuracy,mean_length
0,0,validation,3.3249,12.64,63.292
0,10,train,2.4934,12.1875,54.05
0,20,train,2.1056,12.5,61.075
0,30,train,2.1024,12.8125,63.6531
0,40,train,2.082,16.25,63.9031
0,50,train,2.0776,10.0,63.8094
0,60,train,2.074,13.75,63.9094
0,70,train,2.2884,13.4375,63.8531
0,80,train,2.3935,15.3125,63.8094
0,90,train,2.1893,11.5625,63.9281
0,100,train,2.0954,10.3125,63.7719
0,110,train,2.0906,14.6875,64
0,120,train,2.0886,12.5,63.9438
0,130,train,2.0826,15.0,63.8687
0,140,train,2.0917,10.625,63.8687
0,150,train,2.0871,14.375,63.6562
0,160,train,2.0874,14.6875,63.9625
0,170,train,2.0656,15.3125,63.7156
0,180,train,2.0593,16.5625,63.9688
0,190,train,2.0698,9.6875,63.7406
0,200,train,2.0613,15.0,64
0,210,train,2.0476,13.4375,63.8719
0,220,train,2.0742,15.625,64
0,230,train,2.0374,14.6875,64
0,240,train,2.0508,11.875,64
0,250,train,2.0183,18.125,64
0,260,train,1.9663,22.1875,63.95
0,270,train,2.1292,15.9375,63.9188
0,280,train,2.0519,11.875,63.6531
0,290,train,2.0786,12.8125,63.4781
0,300,train,2.0711,15.3125,63.9156
0,310,train,2.0967,10.3125,63.5812
0,320,train,2.0993,12.5,63.8375
0,330,train,2.0935,13.4375,63.9594
0,340,train,2.0755,13.125,64
0,350,train,2.0867,11.875,63.9
0,360,train,2.0803,12.8125,63.7938
0,370,train,2.0837,12.8125,63.8937
0,380,train,2.0812,13.125,63.8094
0,390,train,2.0883,11.5625,64
0,400,train,2.0859,10.625,63.4656
0,410,train,2.0816,10.9375,63.1812
0,420,train,2.0759,14.0625,63.6406
0,430,train,2.0804,15.0,62.3813
0,440,train,2.0863,11.5625,63.2906
0,450,train,2.0746,15.0,63.4875
0,460,train,2.0761,15.625,63.8875
0,470,train,2.0613,19.0625,63.5406
0,480,train,2.0071,18.125,63.9844
0,490,train,2.0512,13.75,64
0,500,train,2.0894,13.125,64
0,510,train,2.0735,15.3125,64
0,512,validation,2.3619,12.96,64
0,520,train,2.0845,12.5,64
0,530,train,2.0705,15.625,64
0,540,train,2.08,15.0,64
0,550,train,2.1376,11.5625,64
0,560,train,2.0604,15.0,64
0,570,train,2.0899,11.25,64
0,580,train,2.1021,8.75,64
0,590,train,2.0549,12.8125,64
0,600,train,2.1454,10.9375,64
0,610,train,2.0941,13.125,64
0,620,train,2.1329,10.9375,64
0,630,train,2.1225,15.0,64
0,640,train,2.1028,13.4375,64
0,650,train,2.0678,16.5625,64
0,660,train,2.1979,9.6875,64
0,670,train,2.1119,14.375,64
0,680,train,2.0806,13.125,64
0,690,train,2.0824,11.5625,64
0,700,train,2.0893,7.5,64
0,710,train,2.0847,9.0625,64
0,720,train,2.0825,12.1875,64
0,730,train,2.0802,11.25,64
0,740,train,2.0799,14.375,64
0,750,train,2.0817,9.6875,64
0,760,train,2.0782,14.0625,64
0,770,train,2.0809,11.875,64
0,780,train,2.0791,12.8125,64
0,790,train,2.0782,13.125,64
0,800,train,2.0776,12.5,64
0,810,train,2.0842,9.375,64
0,820,train,2.0801,10.3125,64
0,830,train,2.0776,13.75,64
0,840,train,2.08,10.625,64
0,850,train,2.0791,14.6875,64
0,860,train,2.0774,13.4375,64
0,870,train,2.0815,12.5,64
0,880,train,2.0795,15.3125,64
0,890,train,2.0781,10.3125,64
0,900,train,2.0807,13.75,64
0,910,train,2.0788,12.5,64
0,920,train,2.081,11.5625,64
0,930,train,2.0796,11.25,64
0,940,train,2.0777,13.125,64
0,950,train,2.0788,15.0,64
0,960,train,2.0766,15.9375,64
0,970,train,2.0805,12.1875,64
0,980,train,2.0802,12.8125,64
0,990,train,2.0824,10.0,64
0,1000,train,2.081,12.8125,64
0,1010,train,2.0775,15.9375,64
0,1020,train,2.0827,9.0625,64
0,1024,validation,2.0798,12.34,64
0,1030,train,2.0805,14.0625,64
0,1040,train,2.0799,13.4375,64
0,1050,train,2.0794,13.75,64
0,1060,train,2.0804,13.125,64
0,1070,train,2.0815,11.5625,64
0,1080,train,2.0776,13.4375,64
0,1090,train,2.0791,12.8125,64
0,1100,train,2.0812,11.25,64
0,1110,train,2.0784,13.75,64
0,1120,train,2.0781,14.6875,64
0,1130,train,2.0826,10.625,64
0,1140,train,2.0782,11.25,64
0,1150,train,2.0778,13.125,64
0,1160,train,2.0797,10.9375,64
0,1170,train,2.0787,13.4375,64
0,1180,train,2.0782,16.5625,64
0,1190,train,2.0801,13.4375,64
0,1200,train,2.0794,15.3125,64
0,1210,train,2.08,14.6875,64
0,1220,train,2.0789,12.5,64
0,1230,train,2.0801,9.6875,64
0,1240,train,2.0797,11.875,64
0,1250,train,2.0776,15.0,64
0,1260,train,2.0797,13.125,64
0,1270,train,2.0809,12.1875,64
0,1280,train,2.0796,14.0625,64
0,1290,train,2.0802,10.9375,64
0,1300,train,2.0801,10.9375,64
0,1310,train,2.0793,12.8125,64
0,1320,train,2.0802,11.5625,64
0,1330,train,2.0798,13.75,64
0,1340,train,2.0801,12.8125,64
0,1350,train,2.0789,14.0625,64
0,1360,train,2.0814,11.5625,64
0,1370,train,2.0811,10.0,64
0,1380,train,2.081,12.8125,64
0,1390,train,2.081,12.1875,64
0,1400,train,2.0797,10.0,64
0,1410,train,2.0812,13.75,64
0,1420,train,2.0802,14.0625,64
0,1430,train,2.0796,11.5625,64
0,1440,train,2.0782,16.25,64
0,1450,train,2.0806,10.625,64
0,1460,train,2.0802,10.9375,64
0,1470,train,2.0786,11.5625,64
0,1480,train,2.0808,10.9375,64
0,1490,train,2.0793,13.4375,64
0,1500,train,2.0791,14.375,64
0,1510,train,2.0801,10.9375,64
0,1520,train,2.0789,15.0,64
0,1530,train,2.0806,11.25,64
0,1536,validation,2.0795,12.46,64
0,1540,train,2.0791,12.1875,64
0,1550,train,2.0787,15.3125,64
0,1560,train,2.0793,13.125,64
0,1570,train,2.0777,13.75,64
0,1580,train,2.0788,12.5,64
0,1590,train,2.0814,12.8125,64
0,1600,train,2.0808,9.375,64
0,1610,train,2.0801,10.0,64
0,1620,train,2.0774,15.625,64
0,1630,train,2.0823,12.8125,64
0,1640,train,2.0781,16.875,64
0,1650,train,2.0802,13.4375,64
0,1660,train,2.0836,10.3125,64
0,1670,train,2.0786,14.0625,64
0,1680,train,2.08,11.25,64
0,1690,train,2.0785,14.0625,64
0,1700,train,2.079,11.5625,64
0,1710,train,2.0818,9.6875,64
0,1720,train,2.0804,12.8125,64
0,1730,train,2.0794,12.8125,64
0,1740,train,2.0803,10.9375,64
0,1750,train,2.0788,13.125,64
0,1760,train,2.0806,11.5625,64
0,1770,train,2.0792,15.625,64
0,1780,train,2.0787,11.25,64
0,1790,train,2.0813,13.4375,64
0,1800,train,2.0802,14.0625,64
0,1810,train,2.0786,13.75,64
0,1820,train,2.0813,12.8125,64
0,1830,train,2.0793,14.375,64
0,1840,train,2.0779,12.5,64
0,1850,train,2.08,10.625,64
0,1860,train,2.0799,11.25,64
0,1870,train,2.0805,11.25,64
0,1880,train,2.0799,12.5,64
0,1890,train,2.0788,14.375,64
0,1900,train,2.0806,10.625,64
0,1910,train,2.0795,13.75,64
0,1920,train,2.0781,12.5,64
0,1930,train,2.0794,11.25,64
0,1940,train,2.0783,13.125,64
0,1950,train,2.0813,11.25,64
0,1960,train,2.0796,12.5,64
0,1970,train,2.0804,12.8125,64
0,1980,train,2.0822,10.625,64
0,1990,train,2.0804,13.125,64
0,2000,train,2.0806,11.25,64
0,2010,train,2.0781,15.3125,64
0,2020,train,2.0817,10.9375,64
0,2030,train,2.0805,12.1875,64
0,2040,train,2.0819,10.625,64
0,2048,validation,2.0796,12.8,64
0,2050,train,2.0779,15.625,64
0,2060,train,2.0777,15.3125,64
0,2070,train,2.0788,12.8125,64
