step, en to de, de to en
256, 0.13, 0.15
512, 0.17, 0.42
768, 0.2, 0.35
1024, 0.21, 0.23
1280, 0.22, 0.35
1536, 0.41, 0.34
1792, 23.58, 26.61
2048, 24.96, 28.92
2304, 24.63, 29.4
2560, 25.27, 29.42
2816, 26.42, 29.81
3072, 26.87, 30.39
3328, 26.5, 30.58
3584, 27.32, 30.83
3840, 26.91, 31.15
4096, 27.2, 31.37
4352, 27.99, 31.28
4608, 27.83, 31.04
4864, 28.23, 31.26
5120, 27.64, 31.17
5376, 28.95, 31.76
5632, 29.04, 31.86
5888, 28.33, 31.76
6144, 28.49, 31.61
