mode,epoch,global step,loss,accuracy,mean_length
validation,0,0,2.6079,12.54,44.5056
validation,0,0,2.6079,12.54,44.5056
train,0,32,2.6478,9.7656,39.0859
train,0,32,2.6478,9.7656,39.0859
train,0,64,2.4029,14.0625,42.8789
train,0,64,2.4029,14.0625,42.8789
train,0,96,2.2894,14.0625,49.4727
train,0,96,2.2894,14.0625,49.4727
train,0,128,2.186,14.0625,53.918
train,0,128,2.186,14.0625,53.918
train,0,160,2.1386,13.2812,54.9102
train,0,160,2.1386,13.2812,54.9102
train,0,192,2.1683,11.7188,57.8516
train,0,192,2.1683,11.7188,57.8516
train,0,224,2.1071,10.9375,59.2148
train,0,224,2.1071,10.9375,59.2148
train,0,256,2.123,11.3281,59.7656
train,0,256,2.123,11.3281,59.7656
train,0,288,2.1018,15.625,59.6445
train,0,288,2.1018,15.625,59.6445
train,0,320,2.0935,11.3281,59.9375
train,0,320,2.0935,11.3281,59.9375
train,0,352,2.0803,14.0625,61.082
train,0,352,2.0803,14.0625,61.082
train,0,384,2.075,16.4062,60.8047
train,0,384,2.075,16.4062,60.8047
train,0,416,2.1008,12.5,60.5352
train,0,416,2.1008,12.5,60.5352
train,0,448,2.0854,15.625,61.1211
train,0,448,2.0854,15.625,61.1211
train,0,480,2.0942,9.375,60.7305
train,0,480,2.0942,9.375,60.7305
train,0,512,2.0981,12.5,61.8867
train,0,512,2.0981,12.5,61.8867
validation,0,512,2.0709,13.38,61.1328
validation,0,512,2.0709,13.38,61.1328
train,0,544,2.1106,10.5469,61.2656
train,0,544,2.1106,10.5469,61.2656
train,0,576,2.0821,11.3281,62.3672
train,0,576,2.0821,11.3281,62.3672
train,0,608,2.0986,11.7188,61.5898
train,0,608,2.0986,11.7188,61.5898
train,0,640,2.0847,14.4531,61.5977
train,0,640,2.0847,14.4531,61.5977
train,0,672,2.089,11.3281,62.7227
train,0,672,2.089,11.3281,62.7227
train,0,704,2.0875,14.8438,61.4883
train,0,704,2.0875,14.8438,61.4883
train,0,736,2.0861,13.6719,61.6289
train,0,736,2.0861,13.6719,61.6289
train,0,768,2.0769,11.3281,61.2031
train,0,768,2.0769,11.3281,61.2031
train,0,800,2.0702,12.8906,61.1992
train,0,800,2.0702,12.8906,61.1992
train,0,832,2.0982,10.9375,60.4414
train,0,832,2.0982,10.9375,60.4414
train,0,864,2.0699,12.8906,61.6367
train,0,864,2.0699,12.8906,61.6367
train,0,896,2.0715,15.2344,60.7461
train,0,896,2.0715,15.2344,60.7461
train,0,928,2.0753,12.8906,61.707
train,0,928,2.0753,12.8906,61.707
train,0,960,2.0932,12.1094,61.707
train,0,960,2.0932,12.1094,61.707
train,0,992,2.0671,16.4062,62.1875
train,0,992,2.0671,16.4062,62.1875
train,0,1024,2.0685,16.7969,60.9336
train,0,1024,2.0685,16.7969,60.9336
validation,0,1024,2.059,13.12,59.9742
validation,0,1024,2.059,13.12,59.9742
train,0,1056,2.07,13.2812,61.3711
train,0,1056,2.07,13.2812,61.3711
train,0,1088,2.0609,14.4531,60.3711
train,0,1088,2.0609,14.4531,60.3711
train,0,1120,2.0827,8.9844,61.1133
train,0,1120,2.0827,8.9844,61.1133
train,0,1152,2.0546,13.2812,60.7344
