mode,epoch,global step,lr,loss
train,0,51500,,3.6237
train,0,51750,,3.6575
train,0,52000,,3.6388
train,0,52250,,3.6163
train,0,52500,,3.6559
train,0,52750,,3.6114
train,0,53000,,3.6202
train,0,53250,,3.6184
train,0,53500,,3.5721
train,0,53750,,3.573
train,0,54000,,3.6346
train,0,54250,,3.6119
train,0,54500,,3.6287
train,0,54750,,3.6339
train,0,55000,,3.6358
validation,0,55000,,3.4861
train,0,55250,,3.6294
train,0,55500,,3.6351
train,0,55750,,3.6115
train,0,56000,,3.6222
train,0,56250,,3.5567
train,0,56500,,3.5681
train,0,56750,,3.617
train,0,57000,,3.5861
train,0,57250,,3.6236
train,0,57500,,3.5852
train,0,57750,,3.6183
train,0,58000,,3.6094
train,0,58250,,3.5507
train,0,58500,,3.6184
train,0,58750,,3.5842
train,0,59000,,3.6381
train,0,59250,,3.6274
train,0,59500,,3.5989
train,0,59750,,3.6262
train,0,60000,,3.5749
validation,0,60000,,3.4833
train,0,60250,,3.6077
train,0,60500,,3.5998
train,0,60750,,3.562
train,0,61000,,3.5711
train,0,61250,,3.5582
train,0,61500,,3.5809
train,0,61750,,3.5842
train,0,62000,,3.5672
train,0,62250,,3.6289
train,0,62500,,3.5452
train,0,62750,,3.5892
train,0,63000,,3.6288
train,0,63250,,3.5695
train,0,63500,,3.57
train,0,63750,,3.6284
train,0,64000,,3.5974
train,0,64250,,3.6034
train,0,64500,,3.6123
train,0,64750,,3.6227
train,0,65000,,3.5792
validation,0,65000,,3.4784
train,0,65250,,3.5405
train,0,65500,,3.5715
train,0,65750,,3.5667
train,0,66000,,3.6322
train,0,66250,,3.5877
train,0,66500,,3.6046
train,0,66750,,3.54
train,0,67000,,3.5967
train,0,67250,,3.5535
train,0,67500,,3.6336
train,0,67750,,3.6097
train,0,68000,,3.6083
train,0,68250,,3.5928
train,0,68500,,3.6023
train,0,68750,,3.5928
train,0,69000,,3.5761
train,0,69250,,3.5634
train,0,69500,,3.6298
train,0,69750,,3.5797
train,0,70000,,3.5818
validation,0,70000,,3.4769
train,0,70250,,3.6037
train,0,70500,,3.6042
train,0,70750,,3.5966
train,0,71000,,3.5953
train,0,71250,,3.5724
train,0,71500,,3.5462
train,0,71750,,3.5633
train,0,72000,,3.5812
train,0,72250,,3.5814
train,0,72500,,3.5891
train,0,72750,,3.6064
train,0,73000,,3.5058
train,0,73250,,3.5988
train,0,73500,,3.57
train,0,73750,,3.6108
train,0,74000,,3.5505
train,0,74250,,3.5278
train,0,74500,,3.6209
train,0,74750,,3.584
train,0,75000,,3.5813
validation,0,75000,,3.468
train,0,75250,,3.5445
train,0,75500,,3.545
train,0,75750,,3.5664
train,0,76000,,3.5608
train,0,76250,,3.6087
train,0,76500,,3.5775
train,0,76750,,3.6029
train,0,77000,,3.6088
train,0,77250,,3.5741
train,0,77500,,3.5833
train,0,77750,,3.5705
train,0,78000,,3.5795
train,0,78250,,3.6088
train,0,78500,,3.5596
train,0,78750,,3.5505
train,0,79000,,3.5576
train,0,79250,,3.5516
train,0,79500,,3.5818
train,0,79750,,3.5929
train,0,80000,,3.5753
validation,0,80000,,3.4681
train,0,80250,,3.5746
train,0,80500,,3.5781
train,0,80750,,3.5588
train,0,81000,,3.5747
train,0,81250,,3.5685
train,0,81500,,3.5758
train,0,81750,,3.5596
train,0,82000,,3.5666
train,0,82250,,3.5857
train,0,82500,,3.5799
train,0,82750,,3.5847
train,0,83000,,3.548
train,0,83250,,3.5518
train,0,83500,,3.5905
train,0,83750,,3.6199
train,0,84000,,3.5836
train,0,84250,,3.526
train,0,84500,,3.5994
train,0,84750,,3.5825
train,0,85000,,3.5023
validation,0,85000,,3.464
train,0,85250,,3.5747
train,0,85500,,3.5905
train,0,85750,,3.5385
train,0,86000,,3.615
train,0,86250,,3.5739
train,0,86500,,3.5532
train,0,86750,,3.5697
train,0,87000,,3.569
train,0,87250,,3.5671
train,0,87500,,3.5956
train,0,87750,,3.6227
train,0,88000,,3.5414
train,0,88250,,3.6007
train,0,88500,,3.5709
train,0,88750,,3.6144
train,0,89000,,3.5405
train,0,89250,,3.5685
train,0,89500,,3.5742
train,0,89750,,3.5942
train,0,90000,,3.5939
validation,0,90000,,3.4602
train,0,90250,,3.5646
train,0,90500,,3.5714
train,0,90750,,3.5649
train,0,91000,,3.5834
train,0,91250,,3.5512
train,0,91500,,3.561
train,0,91750,,3.5806
train,0,92000,,3.5559
train,0,92250,,3.581
train,0,92500,,3.5682
train,0,92750,,3.5743
train,0,93000,,3.601
train,0,93250,,3.5587
train,0,93500,,3.5892
train,0,93750,,3.5555
train,0,94000,,3.5994
train,0,94250,,3.5957
train,0,94500,,3.5652
train,0,94750,,3.575
train,0,95000,,3.5763
validation,0,95000,,3.4592
train,0,95250,,3.541
train,0,95500,,3.5304
train,0,95750,,3.5537
train,0,96000,,3.5891
train,0,96250,,3.5949
train,0,96500,,3.5419
train,0,96750,,3.565
train,0,97000,,3.5515
train,0,97250,,3.5318
train,0,97500,,3.5593
train,0,97750,,3.5404
train,0,98000,,3.5844
train,0,98250,,3.5782
train,0,98500,,3.5642
train,0,98750,,3.5345
train,0,99000,,3.576
train,0,99250,,3.5673
train,0,99500,,3.5898
train,0,99750,,3.5418
train,0,100000,,3.54
validation,0,100000,,3.4586
