step, en to ne, ne to en
256, 0.16, 0.13
512, 0.09, 0.19
768, 0.1, 0.12
1024, 0.09, 0.11
1280, 0.11, 0.13
1536, 0.11, 0.16
1792, 0.11, 0.2
2048, 0.11, 0.23
